Age,Telephone_Number,Family_Members_with_Passes,Previously_Owned_Passes,Club_Member,Distance_from_Park_km,Pass_Type
49,+1-48178067,1,0,False,7.776076140833634,None
21,+1-23268257,1,1,False,30.421713123597648,None
47,+1-51611100,0,1,True,79.91309792620189,None
54,+1-64205081,1,2,False,4.340668790475181,Gold
40,+1-06554332,1,1,False,17.34489494390495,None
56,+1-76806360,1,3,False,10.576306757961216,Gold
62,+1-42431320,0,2,False,19.622838863546605,None
32,+1-74343243,0,1,False,17.29741739501362,None
60,+1-02761024,1,4,False,25.855134106613896,Gold
46,+1-02242803,1,1,False,1.3102528693719275,Silver
53,+1-30105264,0,1,False,52.99094158126843,None
30,+1-86344482,1,1,False,1.009076156428536,None
49,+1-57862035,0,0,False,25.489795806164587,None
24,+1-20508050,1,4,False,50.476001362735694,Silver
68,+1-62560045,1,2,False,3.674734636140045,Gold
39,+1-80378213,0,0,False,34.350006037567724,None
45,+1-10260107,1,4,True,7.085994016117745,Gold
19,+1-47267561,0,2,False,6.645675481660871,None
59,+1-74604073,0,1,False,1.367998676508936,None
62,+1-31408451,0,0,True,13.779596048705127,Silver
23,+1-03650073,0,2,False,66.95170193653377,None
45,+1-46761308,1,1,False,36.55843784464594,None
45,+1-22827121,3,0,True,25.225333353050498,Gold
61,+1-01781642,1,2,False,51.20990138769271,None
61,+1-85046374,2,2,False,54.16069218609285,Silver
37,+1-88801238,0,0,False,27.008758643355584,None
47,+1-50853326,0,0,True,11.14690083918694,Silver
28,+1-21737048,0,2,False,63.746110638571544,None
45,+1-03572460,1,3,False,12.916828915981512,Silver
42,+1-67785512,2,1,False,5.702523742630729,Gold
56,+1-33703302,0,2,False,24.58366444864634,None
50,+1-45888087,0,0,False,2.6462771429111687,None
18,+1-10058641,1,2,True,7.1101658774444,Gold
44,+1-01025728,3,0,False,56.42628943587084,Silver
69,+1-46721140,2,1,False,16.20441750051089,Gold
30,+1-18658648,0,0,False,20.116471658885473,None
58,+1-55304877,0,0,False,23.2141076959937,None
20,+1-48220851,3,3,False,20.37514339307793,Gold
56,+1-78811630,0,0,False,7.3738305324756706,None
23,+1-71242661,1,4,True,74.33498540206983,Gold
25,+1-65881645,0,4,False,34.105058344989,Silver
44,+1-06530831,1,3,False,31.585607913327355,Silver
26,+1-71457003,0,1,False,54.35976759724143,None
54,+1-48667440,0,1,False,33.86686014839092,None
50,+1-85824147,0,0,False,3.872465722689262,None
68,+1-17304067,1,3,False,12.442564939807891,Silver
59,+1-22632726,1,3,False,14.033223071347413,Gold
61,+1-10570822,1,3,False,33.45577242880802,Silver
41,+1-30823030,0,4,True,36.63983242628989,Gold
32,+1-44673632,0,1,False,24.388541053611785,None
49,+1-53284654,1,4,False,15.31726838267154,Gold
49,+1-65121207,3,1,False,62.6863864959224,None
41,+1-51756062,0,2,False,24.285149513886964,None
58,+1-75378154,0,0,True,52.09135781412912,None
69,+1-42774772,0,2,False,78.54719049164945,None
66,+1-18183103,1,0,False,16.48990582512794,None
66,+1-88385058,1,0,True,10.30715997763015,Gold
69,+1-15137686,2,3,False,13.957390942304077,Gold
29,+1-01562865,2,4,False,2.5911218448694595,Gold
56,+1-50426246,0,4,False,12.941735601261232,Silver
19,+1-21573876,0,1,False,21.1780628579408,None
20,+1-62540203,0,3,True,6.915312600448798,Gold
66,+1-23825568,2,4,True,5.881675823190426,Gold
54,+1-60748441,1,1,False,11.43763451598899,Silver
66,+1-28602108,3,1,False,3.1834932076603937,Gold
34,+1-74106101,0,1,True,20.384309305069355,Silver
66,+1-66542283,2,4,False,30.2749922255302,Gold
19,+1-83135540,1,0,True,26.62850855975358,Silver
19,+1-24508221,2,3,False,9.86446117143959,Gold
45,+1-72516388,2,3,True,59.128141918324815,Gold
40,+1-67241678,0,1,True,3.4862182423864563,Gold
54,+1-67851138,2,1,False,0.046911420974971016,Gold
49,+1-61768720,3,1,False,4.332513489143115,Gold
50,+1-11353835,1,1,False,38.614421136025726,None
18,+1-50725214,0,1,False,46.62614063712987,None
36,+1-08623526,0,1,False,43.62491230641514,None
19,+1-58432022,1,3,False,11.7616881251,Gold
61,+1-66027866,0,1,False,62.35126168827658,None
43,+1-75206008,0,0,True,66.08153438570541,None
49,+1-63506536,1,2,False,51.46077045010653,None
23,+1-20320147,2,4,False,40.07210679558543,Gold
49,+1-03346750,1,4,False,55.17887889166272,Silver
21,+1-62576588,0,3,False,32.21577108156651,None
28,+1-00076213,0,4,False,99.84257196509415,None
34,+1-26752516,0,1,False,29.832259009154214,None
55,+1-63736346,0,0,False,5.4147935557033495,None
41,+1-24242608,1,3,False,6.049544388473252,Gold
22,+1-84854273,0,3,False,16.897218595694078,Silver
69,+1-25785411,3,0,True,38.1313400360824,Gold
51,+1-81122368,0,1,True,4.538353599590803,Gold
23,+1-13810786,0,3,False,6.498205775117737,Silver
39,+1-73317183,0,0,False,2.409409543789013,None
28,+1-03256715,0,1,False,5.500077738579071,None
65,+1-54623832,0,0,False,7.458489716259212,None
33,+1-14376512,2,1,False,24.530250230616108,None
50,+1-88421756,0,4,True,14.752235913487214,Gold
26,+1-00120420,0,0,False,2.955314006939765,None
23,+1-75828802,3,1,False,5.174162458965951,Gold
33,+1-57348566,0,2,False,22.013109603389196,None
46,+1-33344781,1,4,True,4.243201670121798,Gold
20,+1-60036110,0,3,False,39.15734765113446,None
37,+1-16851860,2,0,False,3.004401565989265,Silver
53,+1-81383206,0,1,True,6.328284425951946,Gold
36,+1-53553572,2,3,False,62.62710099124366,Silver
43,+1-30387362,0,3,False,22.87962776228441,None
20,+1-83141505,0,3,False,135.76131070281008,None
36,+1-32168258,1,3,False,4.963822382092027,Gold
37,+1-16446838,0,1,True,2.4184112316940016,Gold
49,+1-83218154,0,1,False,2.36712024390011,None
24,+1-43543852,0,2,False,82.15933443208633,None
69,+1-50457821,0,2,False,30.918513645557994,None
58,+1-37723213,1,1,False,12.33231907159533,Silver
50,+1-54218080,0,1,False,14.539433088082117,None
57,+1-65622031,1,2,False,36.13572239060383,None
56,+1-72668507,0,1,False,28.76520763481305,None
35,+1-02478682,0,0,False,13.19364101026492,None
57,+1-47076050,1,0,False,35.13681341158477,None
18,+1-14105777,1,0,False,12.583562513180931,None
28,+1-52014400,0,0,True,18.065418463274387,Silver
45,+1-81636740,2,3,False,57.073595120067544,Silver
42,+1-32451620,2,0,False,3.7756719386552247,Silver
67,+1-28553746,0,2,False,16.9924401617325,None
40,+1-84435120,0,3,False,2.892298402301814,Silver
48,+1-11771542,0,2,False,1.1852800117261573,Silver
47,+1-44422361,0,4,True,101.50791786099813,None
59,+1-33070768,0,4,False,24.802474125105633,Silver
52,+1-74726348,0,1,False,113.30299001670312,None
24,+1-63568327,0,3,True,58.74259778245612,Silver
33,+1-08017862,2,0,False,126.56529037644754,None
43,+1-65124313,0,4,False,81.82633702474209,None
65,+1-74427511,0,3,False,63.42190689029769,None
69,+1-86854055,0,0,True,38.647032453885394,None
66,+1-22226112,1,4,False,39.80266437741712,Gold
19,+1-62683687,1,1,False,85.7824404084967,None
18,+1-78442474,0,2,True,113.18031661873555,None
65,+1-37654413,1,1,False,86.48624540493107,None
29,+1-77014864,1,4,True,19.80228459874966,Gold
22,+1-05761438,1,2,False,62.85483561025198,None
54,+1-05284588,1,4,False,21.414013073937575,Silver
49,+1-78354431,1,4,False,24.920704526690322,Gold
26,+1-58065203,1,0,False,52.125595012783435,None
58,+1-81211726,1,3,False,53.17490569908314,Silver
52,+1-72172605,2,2,False,52.088587846437136,Silver
36,+1-82657223,1,1,False,52.87778039432686,None
65,+1-28357744,2,2,True,16.703584013793396,Gold
33,+1-56635644,1,3,False,22.681468092676532,Silver
20,+1-16503226,1,3,False,8.740268854011378,Gold
37,+1-37824353,2,3,True,18.677233801396714,Gold
41,+1-72405478,1,0,True,97.10813961278998,None
50,+1-77233488,2,4,False,50.87798084360004,Gold
41,+1-07016702,1,1,False,13.514367397058907,None
69,+1-68778270,1,1,False,30.065185508866982,None
28,+1-76705644,2,1,False,8.767103877239842,Gold
66,+1-62560137,0,2,True,6.9632128202771995,Gold
25,+1-50465873,1,0,False,16.21682092026103,None
53,+1-46748337,0,0,False,5.655126088024576,None
55,+1-07403137,1,1,True,24.273012510032846,Silver
57,+1-40608225,0,1,False,16.59090514848146,None
37,+1-55045704,0,3,False,4.461928689733643,Silver
52,+1-21766484,0,2,False,36.1665317580799,None
65,+1-12342644,1,3,False,38.29666288994177,Silver
42,+1-56783447,1,4,False,66.33814190822719,None
52,+1-86420848,0,3,False,37.356592471749764,Silver
42,+1-34310734,0,4,True,7.3465315028504,Gold
46,+1-57763536,0,4,False,32.63036415871425,Silver
35,+1-04368438,1,3,False,112.2725772368307,None
63,+1-48736434,0,1,False,57.39924767588588,None
35,+1-48853121,1,3,False,17.068387262558062,Gold
19,+1-45414831,2,4,False,35.72852968220499,Gold
52,+1-22830066,2,0,False,0.49046508404301215,Silver
33,+1-18842225,3,4,False,7.4146242000040985,Gold
58,+1-37408050,1,2,False,15.278048632274034,Silver
53,+1-24678587,0,0,False,15.86734508425448,None
50,+1-83864401,0,3,True,63.214996595603125,Silver
21,+1-27540822,0,4,False,135.51083327059473,None
50,+1-13186725,0,0,False,18.19852818933278,None
31,+1-50522274,1,1,False,14.840053536908755,Silver
38,+1-38801746,0,3,False,4.225526596839602,Silver
65,+1-04211833,0,4,False,8.000289599811502,Gold
37,+1-61225243,1,2,True,4.51874963507989,Gold
25,+1-27256612,0,1,False,12.760601271369595,None
24,+1-36126620,2,2,False,41.27054342073373,Silver
20,+1-24630512,1,0,False,0.6646421495733144,None
34,+1-35564610,1,2,False,61.550033222472045,None
50,+1-70150267,2,4,False,38.47442594891934,Gold
65,+1-32085580,1,4,False,13.794952535392008,Gold
29,+1-54574114,1,2,False,22.3565598511604,Silver
68,+1-22760483,1,0,False,3.4608828016989945,None
39,+1-07410280,0,4,False,45.28450207284664,Silver
39,+1-37777378,0,4,True,45.6467277261399,Gold
63,+1-61874261,3,2,False,14.251648980386639,Gold
47,+1-28332428,0,2,False,9.06046008734004,Silver
55,+1-21450523,0,0,False,26.35859109172563,None
55,+1-57856483,2,1,True,11.690911886896224,Gold
62,+1-54044804,1,3,True,36.534869408994645,Gold
68,+1-65565448,0,3,True,37.409082897811054,Gold
25,+1-73342764,2,3,False,115.10477804928745,None
44,+1-24240533,2,2,False,13.04969512591908,Gold
44,+1-71310275,0,4,False,1.724429740498271,Silver
51,+1-61577354,3,4,False,64.86367492634895,Gold
38,+1-87166003,0,1,False,0.28730232011169027,None
47,+1-43626755,2,4,False,17.799286689968945,Gold
50,+1-77655570,0,2,False,8.921215041581915,Silver
45,+1-42751664,0,0,False,15.846454772513791,None
64,+1-74083138,0,0,False,5.752848346907482,None
50,+1-13142184,0,3,False,33.668380342091474,None
22,+1-40560877,1,3,False,24.738669205034874,Silver
65,+1-64286754,3,0,False,15.532336973450033,Gold
36,+1-72612146,0,3,False,32.76250948817662,None
21,+1-08007558,1,3,False,2.6139299064147172,Gold
52,+1-37317638,0,1,False,58.568643882894825,None
66,+1-87064681,0,0,False,18.17039491071547,None
34,+1-33127851,2,1,False,28.69634947114453,None
61,+1-16775708,0,3,False,9.716890558758912,Silver
45,+1-02848850,1,4,False,107.3441614928998,None
47,+1-65863615,2,3,False,18.007434694900944,Gold
46,+1-51377770,0,3,True,6.171661442185421,Gold
63,+1-13825676,0,1,False,5.195033924863848,None
23,+1-25430671,0,2,False,9.758748364860166,Silver
52,+1-65431541,1,2,True,44.441049734610786,Gold
58,+1-65848804,2,4,False,11.043753630369112,Gold
54,+1-86556030,0,3,True,2.5781157161887696,Gold
41,+1-53083567,0,2,False,17.773234100531873,Silver
46,+1-88721402,1,4,False,7.2356328232788805,Gold
66,+1-02364407,0,3,False,76.12035508155846,None
63,+1-34108150,0,0,True,14.003189184461586,None
48,+1-08384605,0,4,True,11.357654960163078,Gold
52,+1-70820055,0,2,False,17.84434858808287,None
50,+1-02622263,0,3,False,0.8740731344951576,Silver
69,+1-32813756,0,4,False,22.712408804233572,None
38,+1-61352831,0,1,False,129.78065193502843,None
49,+1-50507451,0,4,True,12.608720085576259,Gold
40,+1-18254317,0,2,False,82.06812776505276,None
50,+1-61576041,1,3,False,3.8973720288276987,Silver
20,+1-56626477,1,0,True,26.746296573331453,Silver
35,+1-65158104,0,0,False,5.570035235696109,None
42,+1-52761608,0,4,False,63.4061818225502,None
59,+1-65120485,0,1,True,38.71770919337327,Silver
48,+1-42471457,0,0,False,62.397973287372345,None
20,+1-74838653,0,1,False,35.36913688639155,None
57,+1-17526651,0,4,True,33.48406678367227,Gold
63,+1-70054861,0,3,True,22.560066876766797,Gold
41,+1-62072761,0,3,False,23.662417137316325,None
67,+1-06057630,1,0,True,45.83272827462946,Silver
49,+1-03463061,0,0,True,25.512344814870236,Silver
64,+1-17414752,0,0,False,17.013548134978702,None
39,+1-78411601,0,0,False,36.88760863541215,None
40,+1-30348041,1,4,False,99.70733646478702,None
19,+1-85127020,0,1,False,72.10606718826094,None
44,+1-70436470,0,2,True,11.80877441638292,Silver
59,+1-43242720,2,4,True,14.676858047430814,Gold
19,+1-88507187,1,0,False,94.73685456725941,None
43,+1-24808333,2,0,False,7.952268286345981,Silver
34,+1-85732063,1,0,False,4.101468128581854,None
57,+1-72041252,3,2,False,19.413418180230472,Gold
50,+1-25480225,1,1,False,17.71488564177746,None
26,+1-72257523,0,0,True,23.810979838561707,Silver
60,+1-07352588,1,3,False,0.9745102385427841,Gold
65,+1-22362775,2,0,False,6.933468736276711,Silver
56,+1-34152541,3,2,False,48.68226364982308,Gold
46,+1-44876235,1,2,False,13.40675225905168,Silver
59,+1-28753627,2,2,False,74.50684245065261,None
43,+1-02441746,1,2,False,25.237898848226806,Silver
52,+1-64783370,1,4,False,0.6449644204549225,Gold
67,+1-35354883,1,0,True,114.72687213830021,None
42,+1-37311045,0,3,True,11.439631045943019,Gold
41,+1-84552303,0,4,False,13.810478862416405,Gold
30,+1-04774150,1,1,False,72.45367464696788,None
24,+1-63450837,2,4,False,63.114835749798864,Gold
53,+1-47073151,1,0,False,34.657622186353585,None
62,+1-41250526,0,4,False,0.30839347533058437,Gold
37,+1-15708444,0,2,False,0.10778402376788279,Silver
18,+1-51537887,0,4,False,5.88947899527016,Silver
25,+1-23084527,2,2,False,43.13116292485379,Silver
63,+1-60485706,1,4,False,54.04607738969949,Silver
33,+1-28547721,1,1,False,7.638875446713636,Silver
31,+1-14677721,0,0,False,2.459024744612428,None
29,+1-30286606,0,0,False,16.697484081433053,None
68,+1-63672164,1,4,False,79.31133937730539,Silver
40,+1-44687568,2,2,False,22.300940899186838,Gold
32,+1-50376222,0,1,False,39.609414939816624,None
45,+1-00504346,2,2,False,36.98414308303644,Silver
51,+1-58583006,0,0,True,57.757310742756516,None
19,+1-21556476,2,2,False,124.45457194107605,None
49,+1-10844314,0,1,False,117.8115634128737,None
40,+1-16885054,0,1,True,23.298388670889402,Silver
39,+1-35551638,1,2,False,12.170862389134323,None
68,+1-14383775,0,3,True,46.558307743014495,Gold
42,+1-57840014,0,1,False,36.37711473780622,None
39,+1-30333082,0,1,False,45.93220572600016,None
39,+1-34654706,3,3,False,10.699654451666195,Gold
66,+1-54620812,1,0,False,26.249766113604554,None
69,+1-78256063,0,4,False,6.144440975979366,Gold
59,+1-47337454,1,4,False,7.434946353970099,Gold
23,+1-06516547,1,4,False,13.82404621244939,Gold
32,+1-41504561,0,4,False,37.18976854025071,Silver
60,+1-05241003,1,0,True,10.893605099052307,Silver
54,+1-10536541,0,3,False,11.947578228787885,None
50,+1-48816320,0,1,True,48.15297899474646,Silver
25,+1-28862236,0,0,False,73.36787330752206,None
61,+1-61466572,2,4,False,54.97597960118314,Silver
61,+1-02111403,2,2,False,6.130089245453628,Gold
22,+1-41437040,0,4,True,18.35994608017986,Gold
56,+1-37010610,1,0,False,36.43882572388873,None
21,+1-55102452,2,0,True,37.36180618648899,Gold
23,+1-84157535,0,1,False,15.167131545143427,None
62,+1-77175105,2,2,False,16.369343456108155,Gold
49,+1-64783675,0,4,False,25.83446423792232,Silver
69,+1-16841323,1,2,False,33.99527142198784,Silver
47,+1-67074601,1,3,False,2.2888938778306307,Gold
64,+1-04587642,1,3,False,31.04530888351617,Silver
52,+1-84222503,1,1,True,21.53862633241677,Silver
57,+1-72411624,0,2,False,1.162072565554476,Silver
69,+1-25271277,0,0,False,1.843377425197394,None
33,+1-07165146,0,4,False,6.67107419952708,Silver
30,+1-72064460,0,0,False,13.182142757821445,None
67,+1-74746215,1,3,False,42.91163833408447,None
59,+1-48328750,1,2,False,11.339370118951274,Silver
47,+1-05225254,3,1,False,43.24190735126603,Silver
36,+1-37163160,0,2,False,20.663533502558227,None
34,+1-38321207,0,3,True,7.0458039251142885,Gold
36,+1-02214227,1,0,False,45.0157280955638,None
45,+1-33207064,2,2,False,38.42550382975002,Silver
43,+1-33750715,0,2,False,1.1006814211830336,Silver
54,+1-80571454,0,4,False,39.83429711535964,None
43,+1-23638147,1,1,False,33.129992701122596,None
40,+1-47785324,0,1,False,14.12366121817265,None
26,+1-52164827,1,4,False,29.777300534534955,Gold
29,+1-53845864,2,4,False,4.930640671436019,Gold
18,+1-13122352,0,3,False,26.582074796603887,Silver
18,+1-00884868,0,0,True,5.685938702383529,Silver
64,+1-68176543,1,4,False,3.591793783035864,Gold
51,+1-62710184,2,3,False,6.724021694769215,Gold
49,+1-72617643,0,0,False,3.881936390544966,None
65,+1-04838138,1,2,False,3.9625490728715986,Silver
42,+1-34700883,0,4,False,64.43881468105951,None
57,+1-18350842,0,1,False,68.80926055360133,None
62,+1-30873183,0,1,False,39.73592165307626,None
18,+1-82663183,0,2,True,45.73492715941287,Silver
33,+1-71746682,1,2,False,13.392288162844107,Silver
56,+1-33452321,0,2,False,23.557818099661343,None
22,+1-80176045,0,3,False,50.57618499583497,None
39,+1-43068523,1,2,False,20.1490579070199,None
46,+1-40408628,0,3,False,40.06314967514632,None
20,+1-16854654,2,4,True,16.518928610222197,Gold
29,+1-17654480,0,4,False,12.750590486434827,Silver
43,+1-85368447,0,3,False,56.294751644714495,None
33,+1-67182551,0,0,False,12.133426176458066,None
68,+1-68071071,0,0,False,19.365233987439964,None
54,+1-55472366,0,4,False,3.433171432803203,Gold
39,+1-71138838,0,4,True,21.394117128167462,Gold
46,+1-24852853,1,0,False,27.919833799819525,None
31,+1-37605728,3,0,False,14.861198021540359,Gold
45,+1-15014070,1,3,True,31.2132106799027,Gold
22,+1-82108300,1,0,False,17.466154609982077,None
64,+1-61668607,0,1,False,16.668953883811064,None
66,+1-73737435,2,0,False,16.479138595350335,Silver
47,+1-11182373,2,0,False,58.8916852437047,None
63,+1-64832105,1,1,False,39.0238038014179,None
69,+1-17541614,0,2,False,18.300939892352392,None
22,+1-11684631,0,1,False,30.54243079234625,None
29,+1-21456237,3,4,True,52.06968829629363,Gold
33,+1-36560252,1,4,False,18.262777819191818,Gold
43,+1-68205007,0,4,False,55.79695458475464,Silver
43,+1-81847663,1,2,True,5.8482863061375925,Gold
65,+1-14285023,1,2,False,26.96327819821966,None
38,+1-85307175,0,4,False,13.392564737239056,Silver
56,+1-75447677,0,0,True,3.136553330495873,Silver
